user_id,anime_uid,User_rating
1147,5114,10
1906,5114,10
1907,5114,10
1908,5114,7
1909,5114,7
1910,5114,8
1912,5114,10
1913,5114,10
1914,5114,10
1915,5114,9
1916,5114,10
491,5114,10
3137,5114,9
830,5114,7
3023,5114,10
3140,5114,9
3141,5114,10
3142,5114,10
1742,5114,10
251,5114,7
3145,5114,9
3146,5114,10
3147,5114,9
3149,5114,10
3930,5114,9
3931,5114,6
3932,5114,9
1942,5114,10
3934,5114,10
3689,5114,6
3936,5114,10
444,5114,10
1454,5114,10
3941,5114,9
3942,5114,9
3944,5114,10
311,5114,8
2557,5114,7
3947,5114,8
985,5114,10
1848,5114,9
4873,5114,8
4874,5114,10
4666,5114,8
3706,5114,10
4877,5114,10
2968,5114,10
4600,5114,10
4883,5114,10
2930,5114,10
5598,5114,10
6322,5114,9
6323,5114,10
2858,5114,10
6325,5114,10
6326,5114,10
5072,5114,10
6328,5114,10
4361,5114,7
2192,5114,10
6331,5114,10
3723,5114,10
2282,5114,9
4170,5114,10
6336,5114,7
5427,5114,10
1958,5114,10
396,5114,10
5083,5114,10
7359,5114,8
7360,5114,9
7361,5114,10
7362,5114,10
2146,5114,8
1067,5114,10
3777,5114,10
879,5114,6
624,5114,7
5589,5114,10
7405,5114,10
8593,5114,10
179,5114,7
8595,5114,7
2209,5114,9
1028,5114,3
2292,5114,8
8599,5114,10
10332,5114,7
5313,5114,5
5084,5114,7
4569,5114,10
1068,5114,7
411,5114,10
3038,5114,10
3874,5114,10
6316,5114,10
6097,5114,9
2541,5114,10
11910,5114,5
11911,5114,10
11912,5114,5
11913,5114,10
4042,5114,7
11916,5114,9
1440,5114,10
8534,5114,10
5514,5114,7
13340,5114,3
13342,5114,7
3046,5114,10
3187,5114,9
2759,5114,10
8825,5114,10
1371,5114,10
9245,5114,9
5432,5114,1
10749,5114,8
15685,5114,9
15686,5114,7
1960,5114,10
7653,5114,3
15689,5114,9
457,5114,8
10242,5114,10
15693,5114,6
5610,5114,6
15695,5114,10
15696,5114,10
15697,5114,10
11353,5114,10
2098,5114,10
11968,5114,10
17129,5114,3
17130,5114,10
12129,5114,7
3808,5114,10
6355,5114,10
15196,5114,10
20,5114,6
7036,5114,10
1625,5114,10
7149,5114,10
2891,5114,10
16150,5114,10
10393,5114,10
5846,5114,10
11957,5114,9
1441,5114,7
2700,5114,7
413,5114,9
7282,5114,10
16187,5114,8
31408,5114,7
6499,5114,10
6487,5114,10
10683,5114,10
21721,5114,10
7229,5114,10
3105,5114,10
771,5114,10
26762,5114,10
21671,5114,10
979,5114,10
16390,5114,10
376,5114,10
18613,5114,10
541,5114,8
371,5114,8
11901,5114,9
24074,5114,5
16907,5114,10
8195,5114,10
8973,5114,9
13069,5114,10
15054,5114,10
15926,5114,9
6102,5114,10
128,5114,10
14235,5114,9
867,5114,10
2040,5114,9
126,5114,9
7548,5114,9
27234,5114,8
23401,5114,10
6482,5114,9
3875,5114,9
31453,5114,9
1509,5114,10
31456,5114,9
3673,5114,8
21908,5114,10
8511,5114,8
14229,5114,10
3912,5114,10
31463,5114,10
22968,5114,10
2207,5114,10
23418,5114,10
567,5114,10
31469,5114,10
20967,5114,10
31471,5114,10
7719,5114,7
2190,5114,10
2912,5114,10
7259,5114,10
17439,5114,10
4369,5114,10
184,5114,10
12089,5114,9
30882,5114,10
10080,5114,10
13234,5114,10
31485,5114,10
31486,5114,10
28685,5114,4
14218,5114,7
6241,5114,8
3111,5114,10
2954,5114,8
31497,5114,10
10981,5114,10
10977,5114,10
2015,5114,10
2090,5114,10
688,5114,10
661,5114,10
19099,5114,10
1489,5114,10
27476,5114,10
5755,5114,10
22323,5114,10
445,5114,10
4890,5114,7
10374,5114,10
29409,5114,10
20005,5114,10
31518,5114,10
20705,5114,9
7416,5114,10
11932,5114,10
31525,5114,10
3901,5114,9
31527,5114,10
4311,5114,8
12066,5114,10
583,5114,9
10142,5114,10
12058,5114,10
455,5114,10
193,5114,9
34,5114,10
26562,5114,10
2176,5114,10
7910,5114,10
25885,5114,10
10836,5114,7
31547,5114,9
5116,5114,8
6381,5114,10
26936,5114,8
10534,5114,8
133,5114,10
20102,5114,9
4759,5114,8
4372,5114,9
10355,5114,9
30759,5114,10
2421,5114,9
2518,5114,9
2784,5114,9
3112,5114,10
25513,5114,10
16117,5114,7
13850,5114,10
2374,5114,9
3735,5114,10
4504,5114,9
2181,5114,10
1478,5114,10
6193,5114,4
120,5114,10
7952,5114,10
17160,5114,10
8714,5114,10
2540,5114,10
9906,5114,10
3728,5114,10
2177,5114,10
2826,5114,10
2418,5114,10
25451,5114,10
10185,5114,10
31598,5114,10
3835,5114,9
2573,5114,9
6187,5114,10
877,5114,10
22433,5114,9
2627,5114,10
31606,5114,8
14626,5114,10
31609,5114,10
2679,5114,10
15241,5114,10
31613,5114,9
7791,5114,10
14802,5114,10
2840,5114,7
25621,5114,9
23408,5114,9
2910,5114,10
3755,5114,10
31624,5114,9
10712,5114,10
906,5114,10
1020,5114,10
905,5114,10
2904,5114,9
768,5114,9
31632,5114,10
9201,5114,9
21306,5114,10
26547,5114,8
31637,5114,8
2477,5114,8
22473,5114,9
2884,5114,10
3763,5114,10
486,5114,10
26170,5114,10
225,5114,10
3907,5114,9
11070,5114,10
31650,5114,10
8158,5114,10
527,9253,7
3393,9253,7
5205,9253,3
14172,9253,8
1454,9253,10
3874,9253,10
334,9253,9
7048,9253,10
14404,9253,10
5718,9253,10
4029,9253,10
1813,9253,10
3579,9253,10
2424,9253,4
1836,9253,10
12466,9253,10
4199,9253,9
2871,9253,10
345,9253,7
3914,9253,10
6389,9253,10
4504,9253,10
12494,9253,10
22363,9253,10
9465,9253,10
19616,9253,10
2541,9253,9
11868,9253,10
7518,9253,10
1006,9253,5
899,9253,9
2589,9253,9
22374,9253,10
1074,9253,10
1,9253,10
2479,9253,10
6821,9253,9
19062,9253,7
5401,9253,10
10340,9253,9
7818,9253,9
14813,9253,9
22388,9253,10
6070,9253,9
4857,9253,10
7328,9253,10
5813,9253,10
22394,9253,10
76,9253,10
